ID, Dup Num, CVE, Date Opened, Status, Severity, Dup Dates
571432,1,,,,,Dec 26 2015 23:48:07
561481,2,,,,,Nov 25 2015 15:08:20,Nov 25 2015 15:08:41
504763,1,,,,,Jun 26 2015 07:19:37
621547,1,,,,,Jun 17 2016 17:01:52
501809,1,,,,,Jun 21 2015 18:26:02
647948,1,,,,,Sep 28 2016 18:29:12
295638,1,,,,,Sep 21 2013 16:42:43
636558,1,,,,,Aug 05 2016 20:02:46
656419,1,,,,,Oct 28 2016 09:01:25
378491,1,,,,,May 13 2014 22:28:00
664722,1,,,,,Nov 12 2016 16:01:24
551731,1,,,,,Nov 07 2015 18:15:46
464285,1,,,,,Mar 06 2015 04:56:56
648539,1,,,,,Aug 23 2016 16:51:35
474590,1,,,,,Apr 13 2015 18:55:26
423212,1,,,,,Oct 14 2014 15:08:44
167187,1,,,,,Mar 22 2013 22:44:21
543312,2,,,,,Oct 15 2015 10:55:54,Oct 15 2015 10:58:05
85041,1,,,,,Jun 04 2011 12:43:13
41228,1,,,,,Apr 14 2010 10:06:25
346141,1,,,,,Feb 25 2014 03:44:34
645150,1,,,,,Oct 10 2016 11:23:38
487513,2,,,,,May 18 2015 07:39:44,May 18 2015 14:56:54
112436,1,,,,,Feb 02 2012 11:42:12
269627,1,,,,,Aug 09 2013 06:23:21
343648,1,,,,,Feb 25 2014 21:48:15
491844,1,,,,,Jun 22 2015 00:18:36
633588,1,,,,,Aug 02 2016 15:15:48
449739,1,,,,,Dec 19 2014 02:23:25
579179,1,,,,,Mar 20 2016 12:00:57
269753,1,,,,,Sep 12 2013 15:27:46
491481,4,,,,,May 24 2015 14:11:02,May 25 2015 00:20:43,May 25 2015 00:22:20,May 26 2015 20:39:28
152442,1,,,,,Nov 05 2012 04:52:48
379499,1,,,,,Aug 20 2014 14:58:34
464755,1,,,,,Mar 23 2015 20:34:08
439534,1,,,,,Dec 07 2014 16:35:16
127587,1,,,,,May 03 2012 15:38:54
411737,1,,,,,Dec 02 2014 21:27:14
353058,2,,,,,Mar 18 2014 20:06:25,Apr 01 2014 11:20:24
648069,1,,,,,Oct 01 2016 00:31:02
604664,2,,,,,Apr 19 2016 10:00:01,Apr 19 2016 10:02:21
242941,1,,,,,Jun 05 2013 22:36:44
442457,1,,,,,Dec 15 2014 17:37:05
632622,1,,,,,Aug 01 2016 11:08:56
633958,1,,,,,Aug 04 2016 18:40:04
177873,1,,,,,Feb 28 2013 05:50:38
599412,1,,,,,Mar 30 2016 11:14:09
613379,1,,,,,May 19 2016 23:16:20
588178,1,,,,,Mar 02 2016 01:25:01
586725,1,,,,,Feb 13 2016 08:19:38
494178,1,,,,,Jun 01 2015 11:53:59
437174,1,,,,,Dec 08 2014 16:46:55
460937,1,,,,,Mar 06 2015 10:14:52
54502,1,,,,,Sep 04 2010 20:01:35
