"ID","Component","Status","Summary","AllLabels","OS","Opened","OpenedTimestamp","CVE","Security_Severity","MergedInto"
"14508","Internals","Fixed","Security: browser crash with memmove() memory corruption upon large chunked encoding chunk size","OS-All, Pri-0, Restrict-AddIssueComment-Commit, Security, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Jun 18, 2009 04:05:26","1245297926","","Critical",""
"24733","","Verified","Browser crash in icu processing text from Japanese page","Area-MISC, OS-All, Pri-0, Restrict-AddIssueComment-Commit, Security, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Oct 13, 2009 19:06:21","1255460781","","Critical",""
"26179","","Fixed","Security: Chromium bug for gears fts2 security vulnerability","Area-MISC, OS-All, Pri-0, Restrict-AddIssueComment-Commit, Security, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Oct 29, 2009 03:49:10","1256788150","","Critical",""
"27509","Internals, Internals>Network","Verified","Security: HttpStreamParser::DoReadBodyComplete buffer overflow.","OS-All, Pri-0, Restrict-AddIssueComment-Commit, Security, Security_Impact-None, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Nov 12, 2009 13:12:59","1258031579","","Critical",""
"27512","","Duplicate","Security: HttpStreamParser::DoReadBodyComplete buffer overflow - DUPLICATE.","Area-MISC, OS-All, Pri-0, Restrict-AddIssueComment-Commit, Security, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Nov 12, 2009 15:27:12","1258039632","","Critical","27509"
"32472","Blink","WontFix","Memory corruption in Plugin Glue code, might be possible in QuickTime plug-in as well","M-5, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic, bulkmove","All","Jan 16, 2010 22:24:40","1263680680","","Critical",""
"41447","Internals, Internals>Network","Duplicate","net::internal::ClientSocketPoolBaseHelper::OnAvailableSocketSlot LogMessage crash","Pri-0, Restrict-AddIssueComment-Commit, Security, Security_Severity-Critical, Type-Bug-Security, allpublic","","Apr 14, 2010 10:06:25","1271239585","","Critical","41228"
"46011","Internals","WontFix","Arbitrary code execution via hcp: protocol handler and","Pri-0, Restrict-AddIssueComment-Commit, Security, Security_Severity-Critical, Type-Bug-Security, allpublic","","Jun 07, 2010 19:12:18","1275937938","","Critical",""
"46018","UI, UI>Notifications","Fixed","Crash - BalloonViewImpl::DelayedClose","M-6, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security, Security_Impact-Stable, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic, bulkmove","All","Jun 07, 2010 20:19:49","1275941989","","Critical",""
"48283","Internals","Fixed","EXTERNAL-REPORT: Windows kernel crash on invalid font","OS-Windows, Pri-0, Restrict-AddIssueComment-Commit, Reward-1337, Security, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","Windows","Jul 04, 2010 07:24:13","1278228253","","Critical",""
"48733","Internals","Fixed","Crash in third_party xdg_mime library when unable to handle long file paths","OS-Linux, Pri-2, Restrict-AddIssueComment-Commit, Reward-1337, Security, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","Linux","Jul 09, 2010 22:23:13","1278714193","","Critical",""
"50428","UI","Fixed","Browser crash @ TabContents::ExpireInfoBars","M-6, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security, Security_Impact-Stable, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic, bulkmove","All","Jul 27, 2010 22:26:42","1280269602","","Critical",""
"50553","","Verified","Crash when closing chrome - BalloonViewImpl::DelayedClose","M-5, OS-Windows, Pri-0, Restrict-AddIssueComment-EditIssue, Reward-1337, Security, Security_Impact-Stable, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic, bulkmove","Windows","Jul 28, 2010 19:58:05","1280347085","","Critical",""
"51070","Internals","Fixed","Another Windows kernel bug in the CFF font parser","M-5, Pri-1, Restrict-AddIssueComment-EditIssue, Reward-1337, Security, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","","Aug 03, 2010 16:43:57","1280853837","","Critical",""
"53142","","Fixed","EXTERNAL-REPORT: Another Windows kernel CFF font parsing bug","M-6, Pri-0, ReleaseBlock-Stable, Restrict-AddIssueComment-EditIssue, Security, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","","Aug 23, 2010 23:25:20","1282605920","","Critical",""
"53361","Internals","Verified","Browser crash in improper destruction of select file dialog (mac)","M-6, OS-Mac, Pri-1, Restrict-AddIssueComment-EditIssue, Security, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic, reward-500","Mac","Aug 25, 2010 21:15:15","1282770915","","Critical",""
"55119","Internals","Fixed","SpdyFramer buffer resizing bug","M-6, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, SPDY, Security, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Sep 10, 2010 17:04:07","1284138247","","Critical",""
"56722","UI, UI>Browser>Downloads","Verified","Browser crash on closing incognito @ ToolbarView::Layout()","HasTestcase, M-7, Pri-1, Restrict-AddIssueComment-EditIssue, Security, Security_Impact-None, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic, bulkmove, crash-Reproducible","","Sep 23, 2010 22:05:37","1285279537","","Critical",""
"58829","Internals, Internals>GPU","Invalid","Memory corruption in SyncChannel::SyncContext::OnChannelClosed()","M-7, OS-All, Pri-0, Restrict-AddIssueComment-EditIssue, Security, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Oct 11, 2010 23:43:59","1286840639","","Critical",""
"62674","Internals","Fixed","Valgrind detected invalid read in net::SingleRequestHostResolver::Cancel() - use-after-free?","M-12, Pri-1, Restrict-AddIssueComment-EditIssue, Security_Impact-None, Security_Severity-Critical, Stability-Valgrind, Type-Bug-Security, allpublic","","Nov 10, 2010 14:49:57","1289400597","","Critical",""
"63839","Blink","Duplicate","Google Calendar room search causing browser crash","Crash-TopFixed, M-9, OS-Mac, Pri-1, Restrict-AddIssueComment-EditIssue, Security, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic, bulkmove","Mac","Nov 19, 2010 23:04:30","1290207870","","Critical",""
"69195","Internals>Media","Verified","playing Z-Type causes crash","M-9, Pri-2, ReleaseBlock-Stable, Restrict-AddIssueComment-EditIssue, Security, Security_Impact-Stable, Security_Severity-Critical, Type-Bug-Security, allpublic, reward-topanel, testcaseadded","","Jan 11, 2011 05:34:24","1294724064","","Critical",""
"69965","Blink, Blink>Location, Internals","Fixed","Use after free in geolocation infobars","M-10, OS-All, Pri-0, Restrict-AddIssueComment-EditIssue, Security, Security_Impact-None, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Jan 18, 2011 17:37:08","1295372228","","Critical",""
"70070","Blink>WebGL, Internals, Internals>GPU","Fixed","WebGL crashes depending on uniform names","M-10, Needs-Feedback, Pri-1, ReleaseBlock-Stable, Restrict-AddIssueComment-EditIssue, Security_Impact-Stable, Security_Severity-Critical, Stability-Crash, Type-Bug-Security, allpublic, bulkmove, reward-500, reward-decline","","Jan 19, 2011 06:55:35","1295420135","","Critical",""
"73163","Internals","Fixed","Heap corruption in safe_browsing detected on the Valgrind bot (might be fixed by SQLITE ROLL ??)","M-12, OS-All, Pri-1, Restrict-AddIssueComment-EditIssue, Security, Security_Impact-None, Security_Severity-Critical, Type-Bug-Security, allpublic","All","Feb 16, 2011 14:32:34","1297866754","","Critical",""
